id,代数,次数,三维1,三维2,三维3,重量,价格
81231,17,0,1.6,1.8,1,0,1.8
121939,18,1,1.9,1.8,1,0,1.8
152668,20,1,1.4,1.9,1.5,0,1.8
76896,16,0,1,1.6,1.5,0,1.8
119137,28,1,1.5,1.6,1,0,1.8
158821,38,0,1.2,1.3,1.7,0,1.8
162179,15,0,1.6,1.1,1.6,0,1.8
77445,19,2,1.5,1.1,1.7,0,1.8
95370,17,0,1,1,1.6,0,1.8
122506,17,0,1.4,1.7,1.2,0,1.8
75919,16,1,1.8,1,1.5,0,1.8
69786,22,1,1.3,1.5,1.6,0,1.8
111771,14,1,1.3,1.3,1.4,0,1.8
102557,17,0,1.6,1.1,1.8,0,1.8
44456,26,2,1.9,1.7,1.2,2.74,1.8
143027,16,0,1.6,1.2,1.5,0,1.8
119479,17,0,1.7,1.8,1.4,0,1.8
32709,19,0,1.3,1,1.8,0,1.8
101575,18,1,1.4,1,1.9,0,1.8
62408,17,0,1.2,1.9,1.4,0,1.8
172749,36,0,1.2,1.9,1.2,0,1.8
53208,18,0,1.6,1.9,1.3,0,1.8
99291,16,0,1.9,1.5,1,0,1.8
177628,35,0,1.3,1,1.4,0,1.8
117216,17,2,1,1.4,1.5,0,1.8
103653,17,0,1.5,1.5,1.2,0,1.8
81397,17,0,1.1,1.3,1.4,0,1.8
117448,18,0,1.1,1.4,1.9,0,1.81
99034,18,0,1.1,1.1,1.8,0,1.81
176044,36,0,1.9,1.8,1.1,0,1.83
176103,36,0,1.3,1.2,1.4,0,1.83
146450,14,0,1.7,1.7,1.1,0,1.85
155164,14,0,1.2,1.5,1.6,0,1.85
136319,37,0,1.3,1.8,1.5,0,1.85
177568,35,0,1.5,1.7,1.1,0,1.85
110002,14,0,1.5,1.4,1.4,0,1.85
173567,36,0,1.3,1.7,1,0,1.85
132887,14,0,1,1.6,1.9,0,1.86
146483,14,0,1.3,1.9,1.7,0,1.86
161527,14,0,1.9,1.2,1.2,0,1.86
168216,38,0,1,1.5,1.3,0,1.87
167981,38,0,1,1.4,1,0,1.87
102825,18,0,1,1.2,1.2,0,1.87
162773,38,0,1.2,1.4,1.6,0,1.87
76007,16,1,1.8,1.9,1.4,0,1.87
158450,38,0,1,1.7,1.3,0,1.87
161533,14,0,1.3,1.4,1.1,0,1.87
161533,14,0,1.3,1.4,1.1,0,1.87
172034,15,0,1.9,1.6,1,0,1.88
145174,14,0,1.6,1.1,1.2,0,1.88
74265,34,1,1.7,1.5,1.3,0,1.88
146464,14,0,1.4,1.9,1,0,1.88
77917,14,0,1,1.9,1.4,0,1.88
77410,16,0,1,1.7,1.2,0,1.88
71526,16,0,1.2,1.6,1.7,0,1.88
68201,16,0,1.1,1.3,1,0,1.88
90737,32,1,1.3,1,1.3,0,1.88
70775,16,0,1.4,1.4,1.2,0,1.88
37239,19,0,1.9,1.8,1.1,0,1.88
130431,37,0,1.1,1.2,1.6,0,1.88
101276,18,0,1.8,1.4,1.1,0,1.88
122786,18,0,1.4,1.1,1.6,0,1.88
115625,16,0,1.1,1.5,1.4,0,1.88
87760,17,0,1.9,1.4,1.3,0,1.88
47824,19,2,1.7,1.7,1.2,0,1.88
123089,18,0,1.7,1.8,1.4,0,1.88
115673,16,0,1.4,1.2,1.6,0,1.88
123101,18,0,1.3,1.2,1.6,0,1.88
131298,26,1,1.3,1.8,1.9,0,1.88
116717,24,1,1.7,1.4,1.6,0,1.88
160240,17,1,1.9,1.5,1.2,0,1.88
34083,19,0,1.8,1.8,1,0,1.89
149811,16,0,1.8,1.7,1.1,0,1.89
176992,13,0,1.7,1.7,1.2,0,1.89
87163,17,0,1.2,1.4,1.7,0,1.89
105343,16,0,1.4,1.6,1.7,0,1.89
11167,16,0,1.1,1.81,1.2,1.22,1.89
117944,17,0,1.9,1.2,1.1,0,1.89
100814,20,2,1.4,1.3,1.3,0,1.89
67798,17,0,1.9,1.4,1,0,1.89
68070,18,0,1.5,1.2,1.6,0,1.89
151279,15,0,1.8,1,1.4,0,1.89
132097,16,0,1.4,1.5,1,0,1.9
144641,24,1,1.3,1.9,1.2,0,1.9
141320,14,0,1.5,1.8,1,0,1.9
166921,16,1,1.5,1.9,1.6,0,1.9
46101,26,2,1.2,1.8,1.2,0,1.9
93465,23,1,1,1.1,1.9,0,1.9
118050,16,1,1.3,1,1.9,0,1.9
118050,16,1,1.3,1,1.9,0,1.9
2603,16,4,1.2,1.7,1.6,0,1.9
136238,17,0,1.2,1.9,1.9,0,1.9
149563,16,0,1.4,1.8,1.7,0,1.9
155225,14,0,1,1.4,1.8,0,1.9
120671,23,1,1.1,1.3,1.2,0,1.9
117088,18,0,1.6,1.2,1.7,0,1.9
111203,18,0,1.5,1.6,1.3,0,1.9
114533,18,0,1.7,1.7,1.6,0,1.9
99176,18,0,1.2,1.8,1.9,0,1.9
96626,18,1,1.9,1.5,1,0,1.9
159348,14,0,1.8,1.3,1.4,0,1.9
117883,17,0,1.9,1.3,1.2,0,1.9
177535,35,0,1.2,1.2,1.2,0,1.9
173709,38,0,1.4,1.5,1.3,0,1.9
126362,14,0,1.81,1.2,1.5,0,1.9
48295,20,2,1.7,1.7,1.1,0,1.9
110516,34,1,1.7,1.6,1.5,0,1.9
144338,16,0,1.7,1.1,1.1,0,1.9
172002,34,0,1.1,1.2,1.8,0,1.9
109030,34,1,1.5,1.8,1.4,0,1.9
69356,18,0,1.9,1.1,1.4,0,1.9
155198,14,0,1.2,1.5,1.5,0,1.92
145435,14,0,1.4,1.2,1,0,1.94
146983,14,0,1.1,1.9,1.2,0,1.94
141107,14,0,1.7,1.1,1.3,0,1.94
143929,14,0,1.4,1.2,1.7,0,1.94
141117,14,0,1.6,1.7,1.4,0,1.94
148351,14,0,1.6,1.9,1.2,0,1.94
39974,32,1,1.24,1.24,1.1,5.19,1.95
96600,32,1,1.6,1.3,1.1,0,1.95
109180,32,1,1.4,1.4,1.6,0,1.95
177788,35,0,1.7,1.2,1.3,0,1.95
176547,36,0,1.4,1.1,1.3,0,1.95
177574,35,0,1.6,1.3,1.5,0,1.95
177262,36,0,1,1.3,1,0,1.97
175116,32,0,1.3,1.7,1.3,0,1.98
114712,15,0,1.6,1.1,1.2,0,1.98
172342,16,0,1.8,1.1,1.6,0,1.98
94293,18,0,1.5,1.4,1.5,0,1.98
177503,35,0,1.6,1.8,1.8,0,1.98
142711,31,1,1.7,1.4,1.3,0,1.98
124280,27,1,1.1,1.7,1.8,0,1.98
142970,31,1,1.6,1.1,1.5,0,1.98
155020,20,2,1.8,1.6,1.3,0,1.98
121763,27,1,1.2,1.8,1.4,0,1.98
148647,27,1,1,1.4,1.7,0,1.98
77514,20,3,1.7,1.4,1.7,0,1.98
106737,18,0,1,1.1,1.9,0,1.98
175095,16,0,1.8,1.6,1.5,0,1.98
176638,37,0,1.3,1.1,1.5,0,1.98
139523,14,0,1.2,1.2,1.1,0,1.99
145156,14,0,1.5,1.8,1,0,1.99
102660,28,1,1.3,1.2,1.6,0,1.99
103434,18,0,1.1,1.7,1.7,0,1.99
160534,13,0,1,1.6,1.9,0,1.99
120625,16,0,1.2,1.3,1.9,0,1.99
177461,32,0,1.1,1.1,1.5,0,1.99
157760,14,0,1.5,1.3,1.7,0,1.99
54848,15,2,1.9,1.9,1.2,0,1.99
130375,16,0,1.7,1.7,1.1,0,1.99
103503,18,0,1.7,1.5,1,0,1.99
134231,15,0,1.7,1,1,0,1.99
134231,15,0,1.7,1,1,0,1.99
81244,14,0,1,1.5,1.3,0,1.99
81523,15,0,1.1,1.3,1,0,1.99
111478,17,0,1.5,1.6,1.2,0,1.99
87685,14,0,1.1,1.4,1.3,0,1.99
152969,14,0,1.6,1.3,1.5,0,1.99
125585,14,0,1.4,1.4,1,0,1.99
116372,18,0,1.7,1.5,1.2,0,1.99
107158,17,0,1.6,1.3,1.5,0,1.99
131228,15,0,1,1.7,1.4,0,1.99
60833,13,5,1.2,1.8,1.3,0,1.99
98727,18,0,1,1.7,1.5,0,1.99
127405,31,1,1.4,1.1,1.5,0,1.99
