id,代数,次数,三维1,三维2,三维3,重量,价格
2997,4,6,2.46,2.36,1.2,56.91,940
2998,23,1,1.7,1.9,1.4,0,99.88
10795,8,5,1.6,1.7,1.4,0,8.88
3039,7,3,1.33,1.23,1.5,2.53,99.9
3049,12,1,1.3,1.6,1.1,0,5.9
3060,14,0,1.6,1.5,1.4,0,88
3079,8,5,2.39,2.23,2.23,53.04,777
3086,2,13,2.02,1.49,2.12,50.64,2599
3099,4,11,1.33,1.6,1,4.72,200
3100,16,4,1.93,1.96,2.19,69.64,80
3104,17,0,1.4,1,1.1,1.83,4.69
3112,4,10,2.02,2.01,2.01,85.06,1234.66
3113,21,2,1.63,2.42,2.79,55.23,50
3127,8,3,1.53,1.5,1.53,3.01,288
3130,1,13,1.73,1.66,1.89,40.41,4888
3134,13,6,1.4,1.03,1.03,0.44,5
3155,17,0,1.2,1.43,1.9,10.36,25
3156,2,5,2.33,2.33,2.33,55.69,6999
3164,18,0,1.93,1.5,1.5,4.19,20
3172,24,1,1,1.5,1.43,2.32,2
3174,7,8,1.63,1.9,1.63,27.61,100
3177,19,2,1,1.63,1.9,0.64,50
3184,18,0,1.33,1.5,1.6,2.55,5
3195,1,14,1.8,1.8,1.86,83.05,3988
3212,2,14,2.06,1.76,1.76,84.28,1499
3215,5,5,1.93,2,2.93,68.79,1888
3230,5,10,1.43,2.56,1.93,45.84,388
3231,1,12,1.56,1.56,1.6,39.82,5566
3266,4,10,1.93,1.46,1.46,53.9,488
3272,2,14,2.37,1.9,2.9,83.27,11111
3288,5,9,1.73,1.1,1.8,49.37,280
3294,4,2,2.17,2.07,1,72.23,500
3295,18,1,1.4,1.3,1.4,0,5
3300,5,11,2.3,1.9,1.9,62.44,399
3303,5,0,1.7,2.07,2.07,41.41,167
3308,5,10,1.2,1.9,1.2,44.25,178
3326,16,0,1.1,1.7,1.2,0,3
3345,5,10,1.87,1.87,1.83,65.82,388
3353,19,0,1.4,1.9,1.5,0,5
3364,5,4,1.3,2.17,1.43,9.55,218
3372,5,9,2.8,2.47,1.93,47.64,618
3374,2,12,1.47,2.13,1.6,27.06,1100
3375,5,5,1.1,1.7,1,0,72
3379,19,0,1.8,1.4,1.4,0,5
3381,5,9,1.43,1.93,1.93,47.08,388
3386,5,10,1.84,1.47,2.1,41.32,299
3391,5,10,2.47,2,2.47,69.42,697
3403,5,1,2.2,2,2.24,63.42,888
3404,5,11,1.6,2.54,1.67,41.25,211
3407,5,10,1.64,2.67,2.67,35.5,298.8
3424,5,12,2.84,1.97,1.63,87.19,488
3426,5,11,1.91,1.91,2.14,67.3,999
3431,5,9,1.67,1.9,1.23,23.56,160
